1683821489;14.8
1683821498;12.4
1683821517;13.1
1683821545;11.8
1683821564;14.5
1683821575;15.8
1683821597;16.5
1683821600;15.6
1683821604;18.4
1683821617;11
1683821646;16.4
1683821676;10.1
1683821684;17
1683821712;15.8
1683821734;12.4
1683821763;12.9
1683821767;12.3
1683821779;11.8
1683821804;18.2
1683821816;12.8
1683821824;17.4
1683821847;13.8
1683821858;15.2
1683821879;12.2
1683821898;11.5
1683821910;16.9
1683821937;18.2
1683821960;18.2
1683821990;13
1683822011;15.8
1683822028;14.1
1683822035;14.4
1683822054;12.8
1683822072;17.6
1683822079;14.4
1683822107;10.2
1683822128;15.1
1683822141;14.8
1683822165;16.2
1683822185;16.4
1683822192;15.9
1683822195;17.1
1683822216;18.3
1683822223;17.7
1683822246;15.6
1683822257;14.2
1683822274;14
1683822285;10.5
1683822299;18
1683822314;14
1683822321;17.1
1683822338;10.8
1683822340;16.4
1683822355;13.8
1683822363;11.5
1683822378;11.4
1683822406;17.6
1683822419;12.4
1683822445;15.5
1683822459;18.1
1683822478;14.8
1683822500;10.7
1683822514;17.1
1683822528;14.3
1683822548;18.4
1683822549;14.8
1683822559;11
1683822581;17.1
1683822601;14.1
1683822611;13.5
1683822631;11.6
1683822654;10
1683822668;12.5
1683822681;17.4
1683822694;18.6
1683822714;16.7
1683822735;15
1683822760;14.1
1683822761;15.4
1683822768;17
1683822796;12.7
1683822802;13.4
1683822810;11.3
1683822812;12.2
1683822821;11.4
1683822822;18.5
1683822846;13
1683822870;17.9
1683822875;17.2
1683822894;16.5
1683822912;16.1
1683822920;15.8
1683822950;11.7
1683822951;11.7
1683822966;14.4
1683822973;10.6
1683822995;16.1
1683823018;15.9
1683823043;16.3
1683823063;15.7
